="Determinants of second childbirth (left: adjusted right: observed)"
="25-36 # Premarital pregnancy",="",="",="",="",="",="",="",="",="-0.633",="(0.481)",="-0.630",="(0.481)",="-0.630",="(0.481)",="-0.625",="(0.481)"
="37-48 # Premarital pregnancy",="",="",="",="",="",="",="",="",="-1.061†",="(0.549)",="-1.061†",="(0.549)",="-1.072†",="(0.550)",="-1.069†",="(0.550)"
="49-60 # Premarital pregnancy",="",="",="",="",="",="",="",="",="-0.164",="(0.739)",="-0.166",="(0.739)",="-0.168",="(0.740)",="-0.164",="(0.740)"
="61-84 # Premarital pregnancy",="",="",="",="",="",="",="",="",="-0.727",="(0.663)",="-0.752",="(0.663)",="-0.697",="(0.664)",="-0.713",="(0.665)"
="> 85 # Premarital pregnancy",="",="",="",="",="",="",="",="",="1.400",="(1.133)",="1.441",="(1.133)",="1.449",="(1.134)",="1.513",="(1.136)"
="Constant",="-4.931***",="(0.386)",="-4.941***",="(0.386)",="-4.895***",="(0.393)",="-4.904***",="(0.393)",="-5.293***",="(0.470)",="-5.307***",="(0.470)",="-5.249***",="(0.476)",="-5.262***",="(0.476)"
="Observations",="16572",="",="16572",="",="16572",="",="16572",="",="16572",="",="16572",="",="16572",="",="16572",=""
="chi2",="160.419",="",="162.838",="",="167.821",="",="170.302",="",="171.452",="",="174.157",="",="179.175",="",="182.059",=""
="df_m",="30.000",="",="31.000",="",="35.000",="",="36.000",="",="37.000",="",="38.000",="",="42.000",="",="43.000",=""
="ll",="-1566.086",="",="-1564.876",="",="-1562.385",="",="-1561.144",="",="-1560.569",="",="-1559.217",="",="-1556.708",="",="-1555.266",=""
="bic",="3433.351",="",="3440.648",="",="3474.526",="",="3481.761",="",="3490.326",="",="3497.337",="",="3531.181",="",="3538.013",=""
="aic",="3194.171",="",="3193.753",="",="3196.769",="",="3196.288",="",="3197.139",="",="3196.434",="",="3199.416",="",="3198.532",=""
="r2_p",="0.049",="",="0.049",="",="0.051",="",="0.052",="",="0.052",="",="0.053",="",="0.054",="",="0.055",=""
="Standard errors in parentheses"
="† p<0.1, * p<0.05, ** p<0.01, *** p<0.001"
